;Full Name;Position;20-Yard Shuttle;3-Cone Drill;40-Yard Dash;Agility Score;Athleticism Score;Bench Press;Broad Jump;Burst Score;Height-adjusted Speed Score;SPARQ-x;Speed Score;Vertical Jump;Age;Arm Length;Best Comparable Player (1);Best Comparable Player (2);Best Comparable Player (3);Best Comparable Player (4);Best Comparable Player (5);College;Draft Pick;Draft Year;Hand Size;Height (Inches);Team;Weight
85;Brian Allen;OL;4,71;7,81;5,34;12,52;101,1;27,0;99,0;94,6;112,8;98,6;73,8;26,5;25,3;32 3/8;Matt Skura;Jack Allen;Travis Averill;Evan Boehm;Kelvin Beachum;Michigan State;4.11;2018;9 1/4;73;Los Angeles Rams;300 lbs
86;Brian Mihalik;OL;4,37;7,23;4,94;11,6;102,7;23,0;122,0;121,4;;117,7;101,4;35,5;;;;;;;;;;;;;;
87;Brian O'Neill;OL;4,5;7,14;4,82;11,64;101,3;22,0;107,0;103,7;;107,8;110,1;29,5;25,4;34 1/8;Matt Kalil;David Quessenberry;Andrew Lauderdale;Eric Fisher;Pittsburgh;2.30;2018;9 3/8;79;Minnesota Vikings;297 lbs;
88;Brian Schwenke;OL;4,74;7,31;4,99;12,05;108,2;31,0;108,0;99,1;;114,9;101,3;26,5;29,9;32    ;Duane Brown;Josh Andrews;Hugh Thornton;Dion Dawkins;Justin Pugh;California;4.10;2013;10 1/4;75;;314 lbs
89;Brian Winters;OL;4,77;7,55;5,27;12,32;99,5;9,0;107,0;107,1;;77,9;83,0;31,5;29,6;32 3/4;Cole Croston;Jesse Davis;Taylor Moton;Brandon Shell;Jason King;Kent State;3.10;2013;9 3/4;76;Buffalo Bills;320 lbs
90;Bryan Bulaga;OL;4,75;7,7;5,2;12,45;98,6;26,0;98,0;95,8;;101,0;85,9;27,5;31,9;33 1/4;Ben Ijalana;Parker Ehinger;Spencer Drango;Donavon Clark;Cole Toner;Iowa;1.23;2010;9 1/4;78;Los Angeles Chargers;314 lbs
91;Bryan Witzmann;OL;5,01;7,84;5,2;12,85;97,0;23,0;113,0;104,1;;90,4;85,1;28,0;30,6;33    ;Ricky Wagner;Ian Silberman;Chaz Green;Chad Slade;Antonio Garcia;South Dakota State;Undrafted;2014;10 1/4;79;;311 lbs
92;Bryce Harris;OL;4,69;7,57;5,26;12,26;96,8;20,0;109,0;105,5;;90,9;78,4;30,0;;;;;;;;;;;;;;
93;Byron Bell;OL;4,76;7,69;5,41;12,45;101,3;20,0;102,0;102,9;;94,1;79,1;30,5;;;;;;;;;;;;;;
94;Caleb Benenoch;OL;5,11;8,15;4,98;13,26;;;104,0;99,6;;;101,1;28,0;;;;;;;;;;;;;;
95;Calvin Anderson;OL;4,45;7,2;5,36;11,65;101,9;30,0;112,0;108,7;;115,2;70,8;31,0;24,9;33 1/8;Tim Barnes;Cody Wallace;Cole Gardner;Tyler Johnstone;David Quessenberry;Texas;Undrafted;2019;9 3/8;76;Denver Broncos;292 lbs
96;Calvin Throckmorton;OL;4,98;8,07;5,57;13,05;93,4;23,0;97,0;94,4;;86,2;65,9;27,0;24,5;32 1/2;Rob Havenstein;Jon Toth;Fred Johnson;Cameron Jefferson;Dakota Dozier;Oregon;Undrafted;2020;9 1/2;77;New Orleans Saints;317 lbs
